cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate,auroc_fold_mean,auroc_fold_std,auprc_fold_mean,auprc_fold_std,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,macro_f1_fold_mean,macro_f1_fold_std,sensitivity_fold_mean,sensitivity_fold_std,specificity_fold_mean,specificity_fold_std,accuracy_fold_mean,accuracy_fold_std,brier_score_fold_mean,brier_score_fold_std,ece_fold_mean,ece_fold_std,positive_prediction_rate_fold_mean,positive_prediction_rate_fold_std
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__target_only__mean_std__none,2,fixed_0_5,0.5,1820,610,1210,0.557388565235063,0.38328445039099246,0.5581696247120986,0.5576701797979655,0.42295081967213116,0.6933884297520662,0.6027472527472527,0.2394743425257157,0.12564634463795793,0.3456043956043956,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.556480305015804,0.043198765915948435,0.5236432126592087,0.07512279197205918,0.4359993471541702,0.2530237592816641,0.6769612628774379,0.1869668802564592,0.5973730141875431,0.04911756975789991,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.3594853808487948,0.20932270919917376
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__target_only__mean_std__none,2,inner_cv,,1820,610,1210,0.557388565235063,0.38328445039099246,0.579284649776453,0.5728550295857988,0.5131147540983606,0.6454545454545455,0.6010989010989011,0.2394743425257157,0.12564634463795793,0.4076923076923077,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.5718875646125479,0.03476969946552865,0.5601128925064962,0.023665148754042607,0.5167004737641456,0.13046840586917344,0.6270746554609501,0.08824780844940679,0.594543475836041,0.052174661075503455,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.4206764813418727,0.1046364642750311
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__target_only__mean_std__none,mean,fixed_0_5,0.5,1820,610,1210,0.5909294133586235,0.4124108906940025,0.5631486248475817,0.5631994077280105,0.4180327868852459,0.7082644628099174,0.610989010989011,0.23402985701544676,0.119942314266461,0.33406593406593404,0.5839531221128874,0.03507920022964896,0.42278452408146394,0.0933642102302893,0.5553731665823013,0.037646771707092,0.5404304681265479,0.03325112326450008,0.4180309586270126,0.19505775233047637,0.6927153745375898,0.16023038344624288,0.603753142652611,0.06134793839268246,0.23540313997569093,0.014672211253283985,0.12593839879413538,0.0733939478061219,0.3441377183471939,0.17156283630432284
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__target_only__mean_std__none,mean,inner_cv,,1820,610,1210,0.5909294133586235,0.4124108906940025,0.5706001896761956,0.563003328128852,0.5147540983606558,0.6264462809917355,0.589010989010989,0.23402985701544676,0.119942314266461,0.4208791208791209,0.5839531221128874,0.03507920022964896,0.42278452408146394,0.0933642102302893,0.5633801868469257,0.03682213996497302,0.548165910398855,0.028688115231681775,0.5031291581321287,0.1676117316576235,0.6236312155617225,0.10496395505025463,0.585473654602801,0.04484041235715509,0.23540313997569093,0.014672211253283985,0.12593839879413538,0.0733939478061219,0.41881881232701346,0.12836759777514792
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,0,fixed_0_5,0.5,1820,610,1210,0.5813792169082781,0.412918867515018,0.5675518222463081,0.5543057297253741,0.5524590163934426,0.5826446280991735,0.5725274725274725,0.24355138393414752,0.15402841865941103,0.46263736263736266,0.5864279872353714,0.04073603110786802,0.42229823706818237,0.08630681322933818,0.5691277391105004,0.040663349492351654,0.5481044438480891,0.033671567543261845,0.5521795273193646,0.11895882943044858,0.5860759509016362,0.03917362958392534,0.5699660089988487,0.025519821976044688,0.2435656393047246,0.006813739752336672,0.15024180807808957,0.08134415690145674,0.45857777141009687,0.06614881850018733
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,0,inner_cv,,1820,610,1210,0.5813792169082781,0.412918867515018,0.5606489635550739,0.5508349545400405,0.5229508196721312,0.5983471074380166,0.573076923076923,0.24355138393414752,0.15402841865941103,0.4423076923076923,0.5864279872353714,0.04073603110786802,0.42229823706818237,0.08630681322933818,0.5574115790548136,0.02827123269992159,0.5355038342338629,0.031462154329893424,0.5154208709863901,0.18115636757406325,0.5994022871232371,0.1511840545654608,0.5708420779140235,0.05346318781579953,0.2435656393047246,0.006813739752336672,0.15024180807808957,0.08134415690145674,0.4390183235593277,0.16134289552637168
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,1,fixed_0_5,0.5,1820,610,1210,0.6012593144560358,0.41949472184505215,0.5674976290475545,0.5688148848010199,0.3655737704918033,0.7694214876033058,0.634065934065934,0.22653907750867497,0.09430893943620872,0.27582417582417584,0.5807671308653798,0.03393677227439926,0.4185916922281864,0.0922914717151671,0.5416707296847052,0.044038587270619274,0.5138102833248498,0.06717540733244146,0.36034037172143296,0.28567501397608547,0.7230010876479774,0.2290151050432166,0.6203654805510318,0.0998431030489631,0.2294815191201039,0.025234851679172363,0.10615533645035649,0.05466132831478934,0.30605784763136124,0.24921438698461387
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,1,inner_cv,,1820,610,1210,0.6012593144560358,0.41949472184505215,0.577367565370546,0.5615338514425636,0.5770491803278689,0.5776859504132231,0.5774725274725274,0.22653907750867497,0.09430893943620872,0.47417582417582416,0.5807671308653798,0.03393677227439926,0.4185916922281864,0.0922914717151671,0.5665705122088014,0.03840482979385403,0.548833791722432,0.02826566694106373,0.5687945490895763,0.10264032725118698,0.5643464753280265,0.07984604341438957,0.5726068416760978,0.05070587592302872,0.2294815191201039,0.025234851679172363,0.10615533645035649,0.05466132831478934,0.47879656685321115,0.08937550069228413
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,2,fixed_0_5,0.5,1820,610,1210,0.557388565235063,0.38328445039099246,0.5581696247120986,0.5576701797979655,0.42295081967213116,0.6933884297520662,0.6027472527472527,0.2394743425257157,0.12564634463795793,0.3456043956043956,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.556480305015804,0.043198765915948435,0.5236432126592087,0.07512279197205918,0.4359993471541702,0.2530237592816641,0.6769612628774379,0.1869668802564592,0.5973730141875431,0.04911756975789991,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.3594853808487948,0.20932270919917376
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,2,inner_cv,,1820,610,1210,0.557388565235063,0.38328445039099246,0.579284649776453,0.5728550295857988,0.5131147540983606,0.6454545454545455,0.6010989010989011,0.2394743425257157,0.12564634463795793,0.4076923076923077,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.5718875646125479,0.03476969946552865,0.5601128925064962,0.023665148754042607,0.5167004737641456,0.13046840586917344,0.6270746554609501,0.08824780844940679,0.594543475836041,0.052174661075503455,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.4206764813418727,0.1046364642750311
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,mean,fixed_0_5,0.5,1820,610,1210,0.5909294133586235,0.4124108906940025,0.5631486248475817,0.5631994077280105,0.4180327868852459,0.7082644628099174,0.610989010989011,0.23402985701544676,0.119942314266461,0.33406593406593404,0.5839531221128874,0.03507920022964896,0.42278452408146394,0.0933642102302893,0.5553731665823013,0.037646771707092,0.5404304681265479,0.03325112326450008,0.4180309586270126,0.19505775233047637,0.6927153745375898,0.16023038344624288,0.603753142652611,0.06134793839268246,0.23540313997569093,0.014672211253283985,0.12593839879413538,0.0733939478061219,0.3441377183471939,0.17156283630432284
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,mean,inner_cv,,1820,610,1210,0.5909294133586235,0.4124108906940025,0.5706001896761956,0.563003328128852,0.5147540983606558,0.6264462809917355,0.589010989010989,0.23402985701544676,0.119942314266461,0.4208791208791209,0.5839531221128874,0.03507920022964896,0.42278452408146394,0.0933642102302893,0.5633801868469257,0.03682213996497302,0.548165910398855,0.028688115231681775,0.5031291581321287,0.1676117316576235,0.6236312155617225,0.10496395505025463,0.585473654602801,0.04484041235715509,0.23540313997569093,0.014672211253283985,0.12593839879413538,0.0733939478061219,0.41881881232701346,0.12836759777514792
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,0,fixed_0_5,0.5,1820,610,1210,0.5813792169082781,0.412918867515018,0.5675518222463081,0.5543057297253741,0.5524590163934426,0.5826446280991735,0.5725274725274725,0.24355138393414752,0.15402841865941103,0.46263736263736266,0.5864279872353714,0.04073603110786802,0.42229823706818237,0.08630681322933818,0.5691277391105004,0.040663349492351654,0.5481044438480891,0.033671567543261845,0.5521795273193646,0.11895882943044858,0.5860759509016362,0.03917362958392534,0.5699660089988487,0.025519821976044688,0.2435656393047246,0.006813739752336672,0.15024180807808957,0.08134415690145674,0.45857777141009687,0.06614881850018733
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,0,inner_cv,,1820,610,1210,0.5813792169082781,0.412918867515018,0.5606489635550739,0.5508349545400405,0.5229508196721312,0.5983471074380166,0.573076923076923,0.24355138393414752,0.15402841865941103,0.4423076923076923,0.5864279872353714,0.04073603110786802,0.42229823706818237,0.08630681322933818,0.5574115790548136,0.02827123269992159,0.5355038342338629,0.031462154329893424,0.5154208709863901,0.18115636757406325,0.5994022871232371,0.1511840545654608,0.5708420779140235,0.05346318781579953,0.2435656393047246,0.006813739752336672,0.15024180807808957,0.08134415690145674,0.4390183235593277,0.16134289552637168
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,1,fixed_0_5,0.5,1820,610,1210,0.6012593144560358,0.41949472184505215,0.5674976290475545,0.5688148848010199,0.3655737704918033,0.7694214876033058,0.634065934065934,0.22653907750867497,0.09430893943620872,0.27582417582417584,0.5807671308653798,0.03393677227439926,0.4185916922281864,0.0922914717151671,0.5416707296847052,0.044038587270619274,0.5138102833248498,0.06717540733244146,0.36034037172143296,0.28567501397608547,0.7230010876479774,0.2290151050432166,0.6203654805510318,0.0998431030489631,0.2294815191201039,0.025234851679172363,0.10615533645035649,0.05466132831478934,0.30605784763136124,0.24921438698461387
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,1,inner_cv,,1820,610,1210,0.6012593144560358,0.41949472184505215,0.577367565370546,0.5615338514425636,0.5770491803278689,0.5776859504132231,0.5774725274725274,0.22653907750867497,0.09430893943620872,0.47417582417582416,0.5807671308653798,0.03393677227439926,0.4185916922281864,0.0922914717151671,0.5665705122088014,0.03840482979385403,0.548833791722432,0.02826566694106373,0.5687945490895763,0.10264032725118698,0.5643464753280265,0.07984604341438957,0.5726068416760978,0.05070587592302872,0.2294815191201039,0.025234851679172363,0.10615533645035649,0.05466132831478934,0.47879656685321115,0.08937550069228413
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,2,fixed_0_5,0.5,1820,610,1210,0.557388565235063,0.38328445039099246,0.5581696247120986,0.5576701797979655,0.42295081967213116,0.6933884297520662,0.6027472527472527,0.2394743425257157,0.12564634463795793,0.3456043956043956,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.556480305015804,0.043198765915948435,0.5236432126592087,0.07512279197205918,0.4359993471541702,0.2530237592816641,0.6769612628774379,0.1869668802564592,0.5973730141875431,0.04911756975789991,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.3594853808487948,0.20932270919917376
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,2,inner_cv,,1820,610,1210,0.557388565235063,0.38328445039099246,0.579284649776453,0.5728550295857988,0.5131147540983606,0.6454545454545455,0.6010989010989011,0.2394743425257157,0.12564634463795793,0.4076923076923077,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.5718875646125479,0.03476969946552865,0.5601128925064962,0.023665148754042607,0.5167004737641456,0.13046840586917344,0.6270746554609501,0.08824780844940679,0.594543475836041,0.052174661075503455,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.4206764813418727,0.1046364642750311
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,mean,fixed_0_5,0.5,1820,610,1210,0.5909294133586235,0.4124108906940025,0.5631486248475817,0.5631994077280105,0.4180327868852459,0.7082644628099174,0.610989010989011,0.23402985701544676,0.119942314266461,0.33406593406593404,0.5839531221128874,0.03507920022964896,0.42278452408146394,0.0933642102302893,0.5553731665823013,0.037646771707092,0.5404304681265479,0.03325112326450008,0.4180309586270126,0.19505775233047637,0.6927153745375898,0.16023038344624288,0.603753142652611,0.06134793839268246,0.23540313997569093,0.014672211253283985,0.12593839879413538,0.0733939478061219,0.3441377183471939,0.17156283630432284
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,mean,inner_cv,,1820,610,1210,0.5909294133586235,0.4124108906940025,0.5706001896761956,0.563003328128852,0.5147540983606558,0.6264462809917355,0.589010989010989,0.23402985701544676,0.119942314266461,0.4208791208791209,0.5839531221128874,0.03507920022964896,0.42278452408146394,0.0933642102302893,0.5633801868469257,0.03682213996497302,0.548165910398855,0.028688115231681775,0.5031291581321287,0.1676117316576235,0.6236312155617225,0.10496395505025463,0.585473654602801,0.04484041235715509,0.23540313997569093,0.014672211253283985,0.12593839879413538,0.0733939478061219,0.41881881232701346,0.12836759777514792
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,0,fixed_0_5,0.5,1820,610,1210,0.5813792169082781,0.412918867515018,0.5675518222463081,0.5543057297253741,0.5524590163934426,0.5826446280991735,0.5725274725274725,0.24355138393414752,0.15402841865941103,0.46263736263736266,0.5864279872353714,0.04073603110786802,0.42229823706818237,0.08630681322933818,0.5691277391105004,0.040663349492351654,0.5481044438480891,0.033671567543261845,0.5521795273193646,0.11895882943044858,0.5860759509016362,0.03917362958392534,0.5699660089988487,0.025519821976044688,0.2435656393047246,0.006813739752336672,0.15024180807808957,0.08134415690145674,0.45857777141009687,0.06614881850018733
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,0,inner_cv,,1820,610,1210,0.5813792169082781,0.412918867515018,0.5606489635550739,0.5508349545400405,0.5229508196721312,0.5983471074380166,0.573076923076923,0.24355138393414752,0.15402841865941103,0.4423076923076923,0.5864279872353714,0.04073603110786802,0.42229823706818237,0.08630681322933818,0.5574115790548136,0.02827123269992159,0.5355038342338629,0.031462154329893424,0.5154208709863901,0.18115636757406325,0.5994022871232371,0.1511840545654608,0.5708420779140235,0.05346318781579953,0.2435656393047246,0.006813739752336672,0.15024180807808957,0.08134415690145674,0.4390183235593277,0.16134289552637168
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,1,fixed_0_5,0.5,1820,610,1210,0.6012593144560358,0.41949472184505215,0.5674976290475545,0.5688148848010199,0.3655737704918033,0.7694214876033058,0.634065934065934,0.22653907750867497,0.09430893943620872,0.27582417582417584,0.5807671308653798,0.03393677227439926,0.4185916922281864,0.0922914717151671,0.5416707296847052,0.044038587270619274,0.5138102833248498,0.06717540733244146,0.36034037172143296,0.28567501397608547,0.7230010876479774,0.2290151050432166,0.6203654805510318,0.0998431030489631,0.2294815191201039,0.025234851679172363,0.10615533645035649,0.05466132831478934,0.30605784763136124,0.24921438698461387
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,1,inner_cv,,1820,610,1210,0.6012593144560358,0.41949472184505215,0.577367565370546,0.5615338514425636,0.5770491803278689,0.5776859504132231,0.5774725274725274,0.22653907750867497,0.09430893943620872,0.47417582417582416,0.5807671308653798,0.03393677227439926,0.4185916922281864,0.0922914717151671,0.5665705122088014,0.03840482979385403,0.548833791722432,0.02826566694106373,0.5687945490895763,0.10264032725118698,0.5643464753280265,0.07984604341438957,0.5726068416760978,0.05070587592302872,0.2294815191201039,0.025234851679172363,0.10615533645035649,0.05466132831478934,0.47879656685321115,0.08937550069228413
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,2,fixed_0_5,0.5,1820,610,1210,0.557388565235063,0.38328445039099246,0.5581696247120986,0.5576701797979655,0.42295081967213116,0.6933884297520662,0.6027472527472527,0.2394743425257157,0.12564634463795793,0.3456043956043956,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.556480305015804,0.043198765915948435,0.5236432126592087,0.07512279197205918,0.4359993471541702,0.2530237592816641,0.6769612628774379,0.1869668802564592,0.5973730141875431,0.04911756975789991,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.3594853808487948,0.20932270919917376
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,2,inner_cv,,1820,610,1210,0.557388565235063,0.38328445039099246,0.579284649776453,0.5728550295857988,0.5131147540983606,0.6454545454545455,0.6010989010989011,0.2394743425257157,0.12564634463795793,0.4076923076923077,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.5718875646125479,0.03476969946552865,0.5601128925064962,0.023665148754042607,0.5167004737641456,0.13046840586917344,0.6270746554609501,0.08824780844940679,0.594543475836041,0.052174661075503455,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.4206764813418727,0.1046364642750311
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,mean,fixed_0_5,0.5,1820,610,1210,0.5909294133586235,0.4124108906940025,0.5631486248475817,0.5631994077280105,0.4180327868852459,0.7082644628099174,0.610989010989011,0.23402985701544676,0.119942314266461,0.33406593406593404,0.5839531221128874,0.03507920022964896,0.42278452408146394,0.0933642102302893,0.5553731665823013,0.037646771707092,0.5404304681265479,0.03325112326450008,0.4180309586270126,0.19505775233047637,0.6927153745375898,0.16023038344624288,0.603753142652611,0.06134793839268246,0.23540313997569093,0.014672211253283985,0.12593839879413538,0.0733939478061219,0.3441377183471939,0.17156283630432284
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,mean,inner_cv,,1820,610,1210,0.5909294133586235,0.4124108906940025,0.5706001896761956,0.563003328128852,0.5147540983606558,0.6264462809917355,0.589010989010989,0.23402985701544676,0.119942314266461,0.4208791208791209,0.5839531221128874,0.03507920022964896,0.42278452408146394,0.0933642102302893,0.5633801868469257,0.03682213996497302,0.548165910398855,0.028688115231681775,0.5031291581321287,0.1676117316576235,0.6236312155617225,0.10496395505025463,0.585473654602801,0.04484041235715509,0.23540313997569093,0.014672211253283985,0.12593839879413538,0.0733939478061219,0.41881881232701346,0.12836759777514792
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__difference_wave__mean_std__none,0,fixed_0_5,0.5,1820,610,1210,0.5813792169082781,0.412918867515018,0.5675518222463081,0.5543057297253741,0.5524590163934426,0.5826446280991735,0.5725274725274725,0.24355138393414752,0.15402841865941103,0.46263736263736266,0.5864279872353714,0.04073603110786802,0.42229823706818237,0.08630681322933818,0.5691277391105004,0.040663349492351654,0.5481044438480891,0.033671567543261845,0.5521795273193646,0.11895882943044858,0.5860759509016362,0.03917362958392534,0.5699660089988487,0.025519821976044688,0.2435656393047246,0.006813739752336672,0.15024180807808957,0.08134415690145674,0.45857777141009687,0.06614881850018733
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__difference_wave__mean_std__none,0,inner_cv,,1820,610,1210,0.5813792169082781,0.412918867515018,0.5606489635550739,0.5508349545400405,0.5229508196721312,0.5983471074380166,0.573076923076923,0.24355138393414752,0.15402841865941103,0.4423076923076923,0.5864279872353714,0.04073603110786802,0.42229823706818237,0.08630681322933818,0.5574115790548136,0.02827123269992159,0.5355038342338629,0.031462154329893424,0.5154208709863901,0.18115636757406325,0.5994022871232371,0.1511840545654608,0.5708420779140235,0.05346318781579953,0.2435656393047246,0.006813739752336672,0.15024180807808957,0.08134415690145674,0.4390183235593277,0.16134289552637168
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__difference_wave__mean_std__none,1,fixed_0_5,0.5,1820,610,1210,0.6012593144560358,0.41949472184505215,0.5674976290475545,0.5688148848010199,0.3655737704918033,0.7694214876033058,0.634065934065934,0.22653907750867497,0.09430893943620872,0.27582417582417584,0.5807671308653798,0.03393677227439926,0.4185916922281864,0.0922914717151671,0.5416707296847052,0.044038587270619274,0.5138102833248498,0.06717540733244146,0.36034037172143296,0.28567501397608547,0.7230010876479774,0.2290151050432166,0.6203654805510318,0.0998431030489631,0.2294815191201039,0.025234851679172363,0.10615533645035649,0.05466132831478934,0.30605784763136124,0.24921438698461387
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__difference_wave__mean_std__none,1,inner_cv,,1820,610,1210,0.6012593144560358,0.41949472184505215,0.577367565370546,0.5615338514425636,0.5770491803278689,0.5776859504132231,0.5774725274725274,0.22653907750867497,0.09430893943620872,0.47417582417582416,0.5807671308653798,0.03393677227439926,0.4185916922281864,0.0922914717151671,0.5665705122088014,0.03840482979385403,0.548833791722432,0.02826566694106373,0.5687945490895763,0.10264032725118698,0.5643464753280265,0.07984604341438957,0.5726068416760978,0.05070587592302872,0.2294815191201039,0.025234851679172363,0.10615533645035649,0.05466132831478934,0.47879656685321115,0.08937550069228413
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__difference_wave__mean_std__none,2,fixed_0_5,0.5,1820,610,1210,0.557388565235063,0.38328445039099246,0.5581696247120986,0.5576701797979655,0.42295081967213116,0.6933884297520662,0.6027472527472527,0.2394743425257157,0.12564634463795793,0.3456043956043956,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.556480305015804,0.043198765915948435,0.5236432126592087,0.07512279197205918,0.4359993471541702,0.2530237592816641,0.6769612628774379,0.1869668802564592,0.5973730141875431,0.04911756975789991,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.3594853808487948,0.20932270919917376
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__difference_wave__mean_std__none,2,inner_cv,,1820,610,1210,0.557388565235063,0.38328445039099246,0.579284649776453,0.5728550295857988,0.5131147540983606,0.6454545454545455,0.6010989010989011,0.2394743425257157,0.12564634463795793,0.4076923076923077,0.5784936109085803,0.03301031631326077,0.4115406691277187,0.09431973906098777,0.5718875646125479,0.03476969946552865,0.5601128925064962,0.023665148754042607,0.5167004737641456,0.13046840586917344,0.6270746554609501,0.08824780844940679,0.594543475836041,0.052174661075503455,0.2397224968069811,0.011665194312532537,0.1259834066656799,0.09515813518027352,0.4206764813418727,0.1046364642750311
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__difference_wave__mean_std__none,mean,fixed_0_5,0.5,1820,610,1210,0.5909294133586235,0.4124108906940025,0.5631486248475817,0.5631994077280105,0.4180327868852459,0.7082644628099174,0.610989010989011,0.23402985701544676,0.119942314266461,0.33406593406593404,0.5839531221128874,0.03507920022964896,0.42278452408146394,0.0933642102302893,0.5553731665823013,0.037646771707092,0.5404304681265479,0.03325112326450008,0.4180309586270126,0.19505775233047637,0.6927153745375898,0.16023038344624288,0.603753142652611,0.06134793839268246,0.23540313997569093,0.014672211253283985,0.12593839879413538,0.0733939478061219,0.3441377183471939,0.17156283630432284
